month,n_days,t_mean,rh,wind,utci,demand,utci_shade,demand_shade,utci_plus15,demand_plus15,utci_shade_plus15,demand_shade_plus15,utci_plus25,demand_plus25,utci_shade_plus25,demand_shade_plus25,city,v_bar,v_need,v_need_plus15,v_need_plus25,shr,shr_plus15,shr_plus25,rta,inadequate_frac
9,300,28.389958333333333,78.91541666666667,3.2939958333333332,34.20976738843669,8.237894783552049,30.187159313442812,4.264202648424329,36.40275708164001,10.40656362226013,32.57356775807398,6.577543080655683,37.987023953748746,11.987023953748748,34.29308723882245,8.29308723882245,svi_hk,1.7324007431443411,1.7858940760479527,2.2560400215498904,2.598668182942512,-0.05349333290361158,-0.5236392784055492,-0.8662674397981707,0.9700467493447381,0.5350044234739015
10,310,26.078387096774193,70.42016129032258,4.385645161290323,29.51846740159104,4.193426343972224,25.079995964028573,1.0468034428014914,31.541066934450733,5.851750443834384,27.275266290149435,2.228393839432894,32.9390039539294,7.125566450265996,28.789936088296628,3.3104477370749144,svi_hk,1.7324007431443411,0.9090933378994039,1.2686015938223323,1.5447522997530987,0.8233074052449372,0.46379914932200883,0.18764844339124243,1.9056357261921113,0.12297257446181067
11,300,23.197333333333333,67.79333333333334,4.1305125,26.1822955672303,2.095811601316365,21.16517790457718,0.14420940687984332,28.05350956703684,3.275361436683136,23.216773417770085,0.49436711937694205,29.327838536698994,4.2032765207038105,24.611915967799668,0.9650422376570857,svi_hk,1.7324007431443411,0.45435121734943945,0.7100659501463231,0.9112287587484403,1.2780495257949016,1.022334792998018,0.8211719843959008,3.8129109750177244,0.007254497198466529
12,310,18.72068548387097,60.53064516129032,4.122012096774194,20.71342925523871,0.5142361023841675,15.189000184078324,0.0057436625790384345,22.491401999994178,0.9082176500340207,17.11562371450715,0.05280769536387988,23.685669462781476,1.2840755467727683,18.413198604190224,0.1263654120716337,svi_hk,1.7324007431443411,0.11148129868950406,0.19689259981766583,0.2783748727597516,1.6209194444548372,1.5355081433266753,1.4540258703845894,15.539832810607958,0.0
1,310,7.547177419354838,53.76048387096774,4.405298387096774,9.514076503316184,0.0,3.0413487917194173,0.0,11.226323164034898,0.0012874290739556008,4.803977646599604,0.0,12.35282792778195,0.00410753317177835,5.972980379164001,0.0,svi_tokyo,1.4589620873937783,0.0,0.000279101884270222,0.0008904725480708812,1.4589620873937783,1.458682985509508,1.4580716148457074,,0.0
2,283,8.822084805653711,52.79991166077738,4.841470848056537,10.494240270702367,0.0087419564498955,3.8138372306735753,0.0,12.20573164068088,0.014873196403597962,5.5982323536760905,0.0,13.334083105052999,0.023560600962111596,6.783753670248787,0.0,svi_tokyo,1.4589620873937783,0.0018951696576787098,0.0032243618117237262,0.00510770515913557,1.4570669177360995,1.4557377255820545,1.4538543822346428,769.8319153023912,0.0
3,310,12.818870967741935,56.14233870967742,5.044536290322581,14.27898480566329,0.04978143720186583,8.402094827409432,0.0,15.960875794374076,0.1221413630237251,10.178840350035152,0.0,17.078943816482834,0.1938843609894074,11.365385579004199,0.0005392208728534892,svi_tokyo,1.4589620873937783,0.01079212300374043,0.026479038928734447,0.04203221099893983,1.4481699643900379,1.432483048465044,1.4169298763948386,135.18768150512352,0.0
4,300,17.352625,58.3425,5.4835666666666665,18.57904685930281,0.30003890779417586,13.108188361854307,0.001987012019636284,20.336142834849298,0.569915771956585,14.997108452294743,0.010837419027318837,21.515237246692877,0.8179694641607345,16.274023866939903,0.032990846747733296,svi_tokyo,1.4589620873937783,0.06504546635912142,0.12355210010884579,0.17732768611580849,1.393916621034657,1.3354099872849325,1.28163440127797,22.429881267031394,0.0
5,310,22.05056451612903,59.88185483870968,5.34383064516129,23.943715090827062,1.320566250882345,19.16366806483515,0.03827112517660473,25.752290091060658,2.0881553959652996,21.127515829243066,0.14427571130740915,26.984703880942536,2.7511935962638883,22.461937386656608,0.3270387093254945,svi_tokyo,1.4589620873937783,0.2862856963393667,0.4526914277866042,0.596431548924225,1.1726763910544116,1.006270659607174,0.8625305384695533,5.096175275429431,0.0
6,300,24.77033333333333,65.57708333333333,4.6142125,27.50434527698173,2.9673174950506156,23.749181490441394,0.6267500293058544,29.378601992996494,4.2707245457186644,25.75007305265466,1.4128016154326415,30.658715535868883,5.277291603656615,27.112998351925718,2.1624926861384877,svi_tokyo,1.4589620873937783,0.6432850716599424,0.9258508231811721,1.1440646014762739,0.8156770157338359,0.5331112642126062,0.31489748591750444,2.267986856323357,0.1262228299575535
